id-JP2009201208A vector-[(0, 0.052756235), (1, 0.00079534727), (2, 0.00079534727), (3, 0.00079534727), (4, 0.00079534727), (5, 0.00079534727), (6, 0.00079534727), (7, 0.00079534727), (8, 0.00079534727), (9, 0.054599732), (10, 0.00079534727), (11, 0.00079534727), (12, 0.00079534727), (13, 0.00079534727), (14, 0.00079534727), (15, 0.00079534727), (16, 0.00079534727), (17, 0.00079534727), (18, 0.09669035), (19, 0.00079534727), (20, 0.00079534727), (21, 0.61987525), (22, 0.00079534727), (23, 0.16096683)]
id-US8368273B2 vector-[(0, 0.0007141352), (1, 0.0007141352), (2, 0.0007141352), (3, 0.0007141352), (4, 0.0007141352), (5, 0.0007141352), (6, 0.0007141352), (7, 0.044817638), (8, 0.0007141352), (9, 0.0007141352), (10, 0.0007141352), (11, 0.0007141352), (12, 0.0007141352), (13, 0.4448246), (14, 0.0007141352), (15, 0.07197579), (16, 0.121156275), (17, 0.0007141352), (18, 0.0007141352), (19, 0.0007141352), (20, 0.0007141352), (21, 0.0007141352), (22, 0.19320959), (23, 0.111161664)]
id-US8590653B2 vector-[(0, 0.001811783), (1, 0.001811783), (2, 0.001811783), (3, 0.001811783), (4, 0.001811783), (5, 0.001811783), (6, 0.001811783), (7, 0.001811783), (8, 0.12417089), (9, 0.001811783), (10, 0.001811783), (11, 0.37818602), (12, 0.001811783), (13, 0.001811783), (14, 0.001811783), (15, 0.001811783), (16, 0.001811783), (17, 0.001811783), (18, 0.001811783), (19, 0.001811783), (20, 0.45959565), (21, 0.001811783), (22, 0.001811783), (23, 0.001811783)]
id-US8360186B2 vector-[(0, 0.00051456084), (1, 0.00051456084), (2, 0.00051456084), (3, 0.00051456084), (4, 0.00051456084), (5, 0.00051456084), (6, 0.00051456084), (7, 0.00051456084), (8, 0.00051456084), (9, 0.00051456084), (10, 0.00051456084), (11, 0.00051456084), (12, 0.60489255), (13, 0.00051456084), (14, 0.046864837), (15, 0.00051456084), (16, 0.31791365), (17, 0.00051456084), (18, 0.020037744), (19, 0.00051456084), (20, 0.00051456084), (21, 0.00051456084), (22, 0.00051456084), (23, 0.00051456084)]
id-US8033955B2 vector-[(0, 0.0008337089), (1, 0.0008337089), (2, 0.0008337089), (3, 0.0008337089), (4, 0.0008337089), (5, 0.0008337089), (6, 0.0008337089), (7, 0.0008337089), (8, 0.0008337089), (9, 0.0008337089), (10, 0.0008337089), (11, 0.0008337089), (12, 0.0008337089), (13, 0.0008337089), (14, 0.0008337089), (15, 0.0008337089), (16, 0.0008337089), (17, 0.0008337089), (18, 0.0008337089), (19, 0.0008337089), (20, 0.0008337089), (21, 0.9808247), (22, 0.0008337089), (23, 0.0008337089)]
id-US8091677B2 vector-[(0, 0.0008021454), (1, 0.0008021454), (2, 0.0008021454), (3, 0.0008021454), (4, 0.0008021454), (5, 0.11565372), (6, 0.0008021454), (7, 0.0008021454), (8, 0.33098948), (9, 0.0008021454), (10, 0.0008021454), (11, 0.2599771), (12, 0.0008021454), (13, 0.0008021454), (14, 0.0008021454), (15, 0.0008021454), (16, 0.0008021454), (17, 0.0008021454), (18, 0.0008021454), (19, 0.0008021454), (20, 0.0008021454), (21, 0.27733678), (22, 0.0008021454), (23, 0.0008021454)]
id-US8206263B2 vector-[(0, 0.0012335844), (1, 0.0012335844), (2, 0.0012335844), (3, 0.0012335844), (4, 0.0012335844), (5, 0.0012335844), (6, 0.0012335844), (7, 0.0012335844), (8, 0.0012335844), (9, 0.0012335844), (10, 0.0012335844), (11, 0.0012335844), (12, 0.5184233), (13, 0.0012335844), (14, 0.0012335844), (15, 0.0012335844), (16, 0.0012335844), (17, 0.0012335844), (18, 0.0012335844), (19, 0.0012335844), (20, 0.0012335844), (21, 0.45443788), (22, 0.0012335844), (23, 0.0012335844)]
id-US8040010B2 vector-[(0, 0.00062211097), (1, 0.00062211097), (2, 0.00062211097), (3, 0.00062211097), (4, 0.00062211097), (5, 0.00062211097), (6, 0.00062211097), (7, 0.00062211097), (8, 0.00062211097), (9, 0.00062211097), (10, 0.00062211097), (11, 0.00062211097), (12, 0.00062211097), (13, 0.9856914), (14, 0.00062211097), (15, 0.00062211097), (16, 0.00062211097), (17, 0.00062211097), (18, 0.00062211097), (19, 0.00062211097), (20, 0.00062211097), (21, 0.00062211097), (22, 0.00062211097), (23, 0.00062211097)]
id-US7949443B2 vector-[(0, 0.15574509), (1, 0.0011445998), (2, 0.0011445998), (3, 0.21532233), (4, 0.0011445998), (5, 0.12155412), (6, 0.0011445998), (7, 0.0011445998), (8, 0.0011445998), (9, 0.0011445998), (10, 0.0011445998), (11, 0.0011445998), (12, 0.0011445998), (13, 0.0011445998), (14, 0.0011445998), (15, 0.0011445998), (16, 0.0011445998), (17, 0.0011445998), (18, 0.0011445998), (19, 0.0011445998), (20, 0.0011445998), (21, 0.0011445998), (22, 0.0011445998), (23, 0.48448643)]
id-US8253359B2 vector-[(0, 0.0006219623), (1, 0.0006219623), (2, 0.0006219623), (3, 0.10704236), (4, 0.0006219623), (5, 0.0006219623), (6, 0.0006219623), (7, 0.0006219623), (8, 0.0006219623), (9, 0.0006219623), (10, 0.0006219623), (11, 0.0006219623), (12, 0.0006219623), (13, 0.0006219623), (14, 0.0006219623), (15, 0.0006219623), (16, 0.0006219623), (17, 0.0006219623), (18, 0.0006219623), (19, 0.0006219623), (20, 0.0006219623), (21, 0.8792745), (22, 0.0006219623), (23, 0.0006219623)]
